Product Category No.,Brand,Model,Product Type,Product Configuration,Product Unit Mount,GEMS Class,Heating Capacity (kW),Cooling Capacity (kW),AEER,ACOP,GEMS HSPF Cold (com),GEMS HSPF Mixed (com),GEMS HSPF Cold (res),GEMS HSPF Mixed (res),GEMS TCSPF Cold (com),GEMS TCSPF Mixed (com),GEMS TCSPF Cold (res),GEMS TCSPF Mixed (res),Calculated HSPF Cold (com),Calculated HSPF Mixed (com),Calculated HSPF Cold (res),Calculated HSPF Mixed (res),Calculated TCSPF Cold (com),Calculated TCSPF Mixed (com),Calculated TCSPF Cold (res),Calculated TCSPF Mixed (res),Refrigerant Type (GWP),Status,Application Date,Effective From,Effective To
6A,Actron Air,LRC-071CS / LRE-071CS,Ducted,Single split system,N/A,Class 10,7.70,7.30,3.486,4.366,4.419,4.814,4.155,4.626,5.511,2.603,5.490,5.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,LRC-100CS / LRE-100CS,Ducted,Single split system,N/A,Class 11,11.50,10.50,3.361,4.207,4.302,4.866,3.908,4.517,20.369,9.483,6.291,5.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,LRC-170CS / LRE-170CS,Ducted,Single split system,N/A,Class 11,17.60,16.60,3.337,3.969,4.083,4.699,3.634,4.286,46.344,12.841,5.600,5.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,URC-125CS / LRE-125CS,Ducted,Single split system,N/A,Class 11,13.40,12.90,3.511,4.144,4.439,4.786,4.137,4.499,31.794,15.081,5.367,5.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6B(i),Actron Air,URC-140CS / LRE-140CS,Ducted,Single split system,N/A,Class 11,14.35,14.00,3.378,4.107,4.217,4.664,3.888,4.364,15.487,9.632,5.662,5.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6D,Actron Air,WRC-026CS / WRE-026CS,Non-Ducted,Single split system,Wall Hung,Class 8,2.75,2.65,5.858,5.585,5.134,5.450,4.999,5.385,15.657,12.496,8.700,8.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6D,Actron Air,WRC-035CS / WRE-035CS,Non-Ducted,Single split system,Wall Hung,Class 8,3.70,3.50,4.779,4.790,4.715,5.291,4.383,5.102,9.773,8.778,7.157,6.841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6E(i),Actron Air,WRC-050CS / WRE-050CS,Non-Ducted,Single split system,Wall Hung,Class 9,5.00,5.00,4.261,4.298,4.137,4.697,3.790,4.476,11.520,9.148,6.598,6.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,10/08/2023,,
6D,Carrier,38QHG020N8/42QHG020N8-1,Non-Ducted,Single split system,Wall Hung,Class 8,2.20,2.00,4.416,4.753,4.521,4.802,4.398,4.762,13.235,10.274,6.962,6.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Carrier,38QHG026N8/42QHG026N8-1,Non-Ducted,Single split system,Wall Hung,Class 8,2.75,2.65,4.976,5.163,5.209,5.598,4.927,5.353,16.745,11.876,8.031,7.581,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,Carrier,38QHG035N8/42QHG035N8-1,Non-Ducted,Single split system,Wall Hung,Class 8,3.75,3.50,4.416,4.504,4.831,5.487,4.319,4.976,15.021,10.626,6.981,6.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Carrier,38QHG070N8-1/42QHG070N8-1,Non-Ducted,Single split system,Wall Hung,Class 9,7.60,7.00,3.497,3.666,4.096,4.519,3.754,4.221,7.789,6.732,5.471,5.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(ii),Carrier,38QHG080N8-1/42QHG080N8-1,Non-Ducted,Single split system,Wall Hung,Class 9,8.20,8.00,3.399,3.560,4.021,4.494,3.636,4.149,7.676,6.599,5.270,4.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6B(i),Carrier,38QSH170D8S/42QSH170D8S,Ducted,Single split system,Floor/Ceiling,Class 11,17.00,16.20,3.209,3.779,4.140,4.708,3.710,4.303,3.596,12.313,5.371,5.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6E(i),DAIKIN,RXF46WVMA / FTXF46WVMA,Non-Ducted,Single split system,Wall Hung,Class 9,4.70,4.60,3.575,3.740,4.116,4.558,3.817,4.316,6.387,5.815,5.043,4.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Approved,,31/05/2023,
6D,DAIKIN,RXJ25TVMA / FTXJ25TVMAK,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.033,4.799,4.501,4.762,4.402,4.704,6.480,6.171,5.467,5.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
6D,DAIKIN,RXJ25TVMA / FTXJ25TVMAW,Non-Ducted,Single split system,Wall Hung,Class 8,3.20,2.50,5.033,4.799,4.501,4.762,4.402,4.704,6.480,6.171,5.467,5.426,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,R-32,Pending Assessment,30/08/2023,,
