Tables, Description
Table D16.1,Residential Equivalent Cooling and Heating Hours (h/y) as derived from AS/NZS 3823.4
Table D16.2,Baseline AEER and Baseline ACOP for a new air conditioner
Table D16.3,Baseline AEER and Baseline ACOP for a replacement air conditioner
Table D16.4,Residential Minimum TCSPF/HSPF Requirement
Table D16.5,Minimum Rated AEER/ACOP Requirement*
Table D16.6,Lifetime (for information purposes only)
Table F4.1,Commercial Equivalent Cooling and Heating Hours (h/y) as derived from AS/NZS 3823.4
Table F4.2,Baseline AEER and Baseline ACOP for a new air conditioner
Table F4.3,Baseline AEER and Baseline ACOP for a replacement air conditioner
Table F4.4,Residential Minimum TCSPF/HSPF Requirement
Table F4.5,Minimum Rated AEER/ACOP Requirement*
Table F4.6,Lifetime (for information purposes only)
Table A24,Regional Network Factors
