From,To,BCA Climate Zone
2000,,5
2006,2011,5
2015,2050,5
2052,,5
2060,2077,5
2079,2097,5
2099,2123,5
2125,2128,5
2130,2144,5
2145,2148,6
2150,2154,5
2155,2159,6
2160,2163,5
2164,2168,6
2170,2179,6
2190,2200,5
2203,2214,5
2216,2234,5
2250,2251,5
2256,2265,5
2267,,5
2278,,5
2280,2287,5
2289,2300,5
2302,2309,5
2311,,5
2312,,2
2314,2319,5
2320,,6
2321,,5
2322,,6
2323,,5
2324,,2
2325,2327,6
2328,2329,7
2330,2331,6
2333,,7
2334,2335,6
2336,2341,7
2342,,4
2343,2347,7
2350,2355,7
2356,2357,4
2358,,7
2359,,4
2360,2361,7
2365,,7
2369,2371,7
2372,,4
2379,,4
2380,2382,7
2386,2388,4
2390,,4
2395,2402,4
2403,2404,7
2405,,3
2406,,4
2408,2411,4
2415,,6
2420,2422,6
2423,,2
2424,2425,6
2426,2430,5
2431,,2
2439,,5
2440,2441,2
2443,2446,5
2447,2450,2
2452,,2
2453,,7
2454,2456,2
2460,,2
2462,2466,2
2469,2475,2
2476,,7
2477,2490,2
2500,,5
2502,,5
2505,2506,5
2508,,5
2515,2519,5
2522,,5
2525,2526,5
2527,,6
2528,,5
2529,,6
2530,,5
2533,2541,6
2545,2546,6
2548,2551,6
2555,2560,6
2563,2574,6
2575,,7
2576,,6
2577,2583,7
2584,2586,4
2587,,7
2588,,4
2590,,4
2594,,7
2611,,7
2618,2623,7
2624,2625,8
2626,,7
2627,,8
2628,,7
2629,,8
2630,2633,7
2640,2648,4
2649,,7
2650,2652,4
2653,,7
2655,2656,4
2658,2661,4
2663,,4
2665,2666,4
2668,2669,4
2671,2672,4
2675,,4
2678,,4
2680,2681,4
2700,2703,4
2705,2707,4
2710,2717,4
2720,,7
2721,2722,4
2725,2727,4
2729,,4
2730,,7
2731,2739,4
2745,,6
2747,2750,6
2752,2754,6
2756,2763,6
2765,2770,6
2773,2775,6
2776,,7
2777,,6
2778,2780,7
2782,2787,7
2790,2793,7
2794,,4
2795,,7
2797,2800,7
2803,,7
2804,2806,4
2807,,7
2808,2810,4
2817,2818,4
2820,2836,4
2838,2840,4
2842,2844,4
2845,2850,7
2852,,4
2864,,4
2865,2867,7
2868,2871,4
2873,2880,4
2890,,2
2898,2899,2
3644,,4
3691,,4
3707,,7
4375,,6
4377,,6
4380,,6
4383,,6
4385,,4
All other postcodes,All other postcodes,5
